locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Attapur,Apartment,3,3,5,Unfurnished,Resale,1375,6000000
Attapur,Apartment,3,3,12,Unfurnished,Resale,2300,9600000
Attapur,Apartment,3,3,5,Semi-Furnished,Resale,1275,6950000
Attapur,Apartment,3,3,5,Unfurnished,Resale,1325,7200000
Attapur,Apartment,3,3,5,Furnished,Resale,1400,5600000
Attapur,Apartment,2,2,0,Unfurnished,New Property,1000,5500000
Attapur,Builder Floor Apartment,2,2,1,Furnished,Resale,1050,5000000
Attapur,Apartment,2,2,1,Furnished,Resale,860,4500000
Attapur,Builder Floor Apartment,3,3,3,Furnished,Resale,2282,12500000
Attapur,Apartment,2,3,5,Furnished,Resale,1692,8000000
Attapur,Apartment,2,2,4,Furnished,Resale,1000,4000000
Attapur,Apartment,3,4,3,Furnished,Resale,2200,12500000
Attapur,Apartment,3,3,2,Semi-Furnished,Resale,1610,9000000
Attapur,Apartment,2,2,1,Unfurnished,Resale,1100,4500000
Attapur,Apartment,2,3,4,Semi-Furnished,Resale,1500,6000000
Attapur,Apartment,3,3,1,Furnished,Resale,1657,10000000
Attapur,Apartment,3,3,2,Furnished,New Property,1350,6500000
Attapur,Apartment,3,3,0,Unfurnished,Resale,1430,7579000
Attapur,Apartment,2,2,5,Unfurnished,Resale,1150,6625000
Attapur,Apartment,2,2,2,Semi-Furnished,New Property,700,3200000
Attapur,Apartment,2,2,4,Furnished,Resale,1150,6000000
Attapur,Apartment,2,2,4,Unfurnished,Resale,1145,4600000
Attapur,Apartment,2,2,4,Unfurnished,Resale,1145,4600000
Attapur,Apartment,2,2,5,Semi-Furnished,Resale,1223,4800000
Attapur,Apartment,2,2,5,Unfurnished,Resale,1052,6000000
Attapur,Apartment,3,3,5,Semi-Furnished,Resale,1662,9000000
Attapur,Apartment,2,2,5,Unfurnished,Resale,1046,6500000
Attapur,Apartment,2,2,1,Semi-Furnished,Resale,777,3110000
Attapur,Apartment,2,2,9,Unfurnished,New Property,1175,7200000
Attapur,Apartment,2,3,5,Unfurnished,Resale,1300,7300000
Attapur,Apartment,3,3,3,Semi-Furnished,Resale,1400,5500000
Attapur,Apartment,2,2,1,Furnished,Resale,1150,5200000
Attapur,Apartment,2,2,3,Unfurnished,Resale,950,4500000
Attapur,Apartment,2,2,5,Unfurnished,Resale,900,5500000
Attapur,Apartment,2,2,3,Unfurnished,Resale,1325,5300000
Attapur,Apartment,3,3,4,Furnished,Resale,1200,7100000
Attapur,Apartment,2,2,5,Unfurnished,Resale,1070,5000000
Attapur,Apartment,2,2,5,Semi-Furnished,Resale,1070,4500000
Attapur,Apartment,3,3,3,Unfurnished,New Property,1450,6500000
Attapur,Apartment,2,3,2,Semi-Furnished,Resale,1190,4700000
Attapur,Apartment,2,3,1,Semi-Furnished,Resale,1478,7500000
Attapur,Apartment,2,2,3,Unfurnished,Resale,975,3800000
